index,Name,Param,Value
94,vc_bt_bt_16_in_treq_c,biquad_cell_24.b0,0
95,vc_bt_bt_16_in_treq_c,biquad_cell_25.b0,0
96,vc_bt_bt_16_in_treq_c,biquad_cell_26.b0,0
97,vc_bt_bt_16_in_treq_c,biquad_cell_27.b0,0
98,vc_bt_bt_16_in_treq_c,biquad_cell_28.b0,0
99,vc_bt_bt_16_in_treq_c,biquad_cell_29.b0,0
100,vc_bt_bt_16_in_treq_c,biquad_cell_30.b0,0
101,vc_bt_bt_16_in_treq_c,biquad_cell_31.b0,0
102,vc_bt_bt_16_in_treq_c,biquad_cell_32.b0,0
103,vc_bt_bt_16_in_treq_c,biquad_cell_33.b0,0
104,vc_bt_bt_16_in_treq_c,biquad_cell_34.b0,0
105,vc_bt_bt_16_in_treq_c,biquad_cell_35.b0,0
106,vc_bt_bt_16_in_treq_c,biquad_cell_36.b0,0
107,vc_bt_bt_16_in_treq_c,biquad_cell_37.b0,0
108,vc_bt_bt_16_in_treq_c,biquad_cell_38.b0,0
109,vc_bt_bt_16_in_treq_c,biquad_cell_39.b0,0
110,vc_bt_bt_16_in_treq_c,biquad_cell_0.b1,0
111,vc_bt_bt_16_in_treq_c,biquad_cell_1.b1,0
112,vc_bt_bt_16_in_treq_c,biquad_cell_2.b1,0
113,vc_bt_bt_16_in_treq_c,biquad_cell_3.b1,0
114,vc_bt_bt_16_in_treq_c,biquad_cell_4.b1,0
115,vc_bt_bt_16_in_treq_c,biquad_cell_5.b1,0
116,vc_bt_bt_16_in_treq_c,biquad_cell_6.b1,0
117,vc_bt_bt_16_in_treq_c,biquad_cell_7.b1,0
118,vc_bt_bt_16_in_treq_c,biquad_cell_8.b1,0
119,vc_bt_bt_16_in_treq_c,biquad_cell_9.b1,0
120,vc_bt_bt_16_in_treq_c,biquad_cell_10.b1,0
121,vc_bt_bt_16_in_treq_c,biquad_cell_11.b1,0
122,vc_bt_bt_16_in_treq_c,biquad_cell_12.b1,0
123,vc_bt_bt_16_in_treq_c,biquad_cell_13.b1,0
124,vc_bt_bt_16_in_treq_c,biquad_cell_14.b1,0
125,vc_bt_bt_16_in_treq_c,biquad_cell_15.b1,0
126,vc_bt_bt_16_in_treq_c,biquad_cell_16.b1,0
127,vc_bt_bt_16_in_treq_c,biquad_cell_17.b1,0
128,vc_bt_bt_16_in_treq_c,biquad_cell_18.b1,0
129,vc_bt_bt_16_in_treq_c,biquad_cell_19.b1,0
130,vc_bt_bt_16_in_treq_c,biquad_cell_20.b1,0
131,vc_bt_bt_16_in_treq_c,biquad_cell_21.b1,0
132,vc_bt_bt_16_in_treq_c,biquad_cell_22.b1,0
133,vc_bt_bt_16_in_treq_c,biquad_cell_23.b1,0
134,vc_bt_bt_16_in_treq_c,biquad_cell_24.b1,0
135,vc_bt_bt_16_in_treq_c,biquad_cell_25.b1,0
136,vc_bt_bt_16_in_treq_c,biquad_cell_26.b1,0
137,vc_bt_bt_16_in_treq_c,biquad_cell_27.b1,0
138,vc_bt_bt_16_in_treq_c,biquad_cell_28.b1,0
139,vc_bt_bt_16_in_treq_c,biquad_cell_29.b1,0
140,vc_bt_bt_16_in_treq_c,biquad_cell_30.b1,0
141,vc_bt_bt_16_in_treq_c,biquad_cell_31.b1,0
142,vc_bt_bt_16_in_treq_c,biquad_cell_32.b1,0
143,vc_bt_bt_16_in_treq_c,biquad_cell_33.b1,0
144,vc_bt_bt_16_in_treq_c,biquad_cell_34.b1,0
145,vc_bt_bt_16_in_treq_c,biquad_cell_35.b1,0
146,vc_bt_bt_16_in_treq_c,biquad_cell_36.b1,0
147,vc_bt_bt_16_in_treq_c,biquad_cell_37.b1,0
148,vc_bt_bt_16_in_treq_c,biquad_cell_38.b1,0
