index,Name,OMXName
0,vc_bt_bt_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
1,vc_bt_bt_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
2,vc_bt_bt_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
3,vc_bt_bt_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
4,vc_bt_bt_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
5,vc_bt_bt_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
6,vc_hset_hset_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
7,vc_hset_hset_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
8,vc_hset_hset_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
9,vc_hset_hset_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
10,vc_hset_hset_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
11,vc_hset_hset_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
12,vc_mic_hset_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
13,vc_mic_hset_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
14,vc_mic_hset_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
15,vc_mic_hset_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
16,vc_mic_hset_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
17,vc_mic_hset_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
18,vc_usb_usb_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
19,vc_usb_usb_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
20,vc_usb_usb_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
21,vc_usb_usb_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
22,vc_mic_earpiece_extra_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
23,vc_mic_earpiece_extra_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
24,vc_mic_earpiece_extra_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
25,vc_mic_earpiece_extra_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
26,vc_mic_earpiece_extra_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
27,vc_mic_earpiece_extra_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
28,vc_mic_speaker_extra_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
29,vc_mic_speaker_extra_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
30,vc_mic_speaker_extra_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
31,vc_mic_speaker_extra_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
32,vc_mic_speaker_extra_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
33,vc_mic_speaker_extra_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
34,vc_mic_btec_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
35,vc_mic_btec_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
36,vc_mic_btec_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
37,vc_mic_btec_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
38,vc_mic_btec_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
39,vc_mic_btec_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
40,vt_mic_btec_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
41,vt_mic_btec_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
42,vt_mic_btec_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
43,vt_mic_btec_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
44,vt_mic_btec_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
45,vt_mic_btec_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
46,voip_mic_btec_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
47,voip_mic_btec_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
48,voip_mic_btec_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
49,vc_mic_bt_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
50,vc_mic_bt_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
51,vc_mic_bt_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
52,vc_mic_bt_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
53,vc_mic_bt_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
54,vc_mic_bt_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
55,vt_mic_bt_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
56,vt_mic_bt_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
57,vt_mic_bt_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
58,vt_mic_bt_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
59,vt_mic_bt_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
60,vt_mic_bt_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
61,voip_mic_bt_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
62,voip_mic_bt_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
63,voip_mic_bt_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
64,vc_mic_speaker_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
65,vc_mic_speaker_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
66,vc_mic_speaker_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
67,vc_mic_speaker_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
68,vc_mic_speaker_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
69,vc_mic_speaker_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
70,vt_mic_speaker_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
71,vt_mic_speaker_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
72,vt_mic_speaker_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
73,vt_mic_speaker_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
74,vt_mic_speaker_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
75,vt_mic_speaker_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
76,voip_mic_speaker_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
77,voip_mic_speaker_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
78,voip_mic_speaker_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
79,vc_mic_headset_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
80,vc_mic_headset_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
81,vc_mic_headset_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
82,vc_mic_headset_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
83,vc_mic_headset_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
84,vc_mic_headset_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
85,vt_mic_headset_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
86,vt_mic_headset_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
87,vt_mic_headset_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
88,vt_mic_headset_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
89,vt_mic_headset_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
90,vt_mic_headset_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
91,voip_mic_headset_4pole_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
92,voip_mic_headset_4pole_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
93,voip_mic_headset_4pole_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
94,voip_mic_headset_3pole_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
95,voip_mic_headset_3pole_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
96,voip_mic_headset_3pole_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
97,vc_mic_earpiece_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
98,vc_mic_earpiece_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
99,vc_mic_earpiece_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
100,vc_mic_earpiece_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
101,vc_mic_earpiece_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
102,vc_mic_earpiece_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
103,vt_mic_earpiece_8_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
